Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
METAV/SOL METAVERSE,$0.05948,9d,"2,021","2,021","2,021",-3.32%,1.42%,13.21%,2.39%,$32.5M,$59.4M
DOGIUS/SOL DOGIUS MAXIMUS,$0.0001188,2d,"2,689","2,689","2,689",-7.60%,-1.66%,367%,672%,$49K,$118K
AERO/WETH Aerodrome,$1.51,5mo,"9,757","9,757","9,757",-0.11%,-0.39%,0.15%,-2.28%,$337K,$1.10B
BOOF/VIRTUAL Boofus by Virtuals,$0.0007852,7h,663,663,663,0%,-4.17%,-53.59%,-47.75%,$265K,$785K
AIVA/SOL Aiva,$0.0002161,1d,"20,664","20,664","20,664",-13.85%,-11.90%,-26.50%,-49.23%,$66K,$216K
TOMMY/SOL FREE TOMMY ROBINSON,$0.0005561,1d,"18,204","18,204","18,204",0.70%,3.10%,96.47%,-61.46%,$125K,$556K
🐕/SOL Dog,$0.004281,3mo,"1,854","1,854","1,854",-0.07%,12.61%,85.42%,66.92%,$500K,$4.2M
ANDY/WETH Andy,$0.01815,9mo,"1,470","1,470","1,470",-0.09%,0.03%,0.13%,-7.88%,$354K,$1.7M
ZARA/SOL ZARA AI,$0.01200,1mo,"9,237","9,237","9,237",-0.26%,-1.98%,-12.22%,-23.45%,$683K,$7.4M
BLAST/WETH Blast,$0.009333,6mo,432,432,432,0%,0.43%,3.35%,0.55%,$1.2M,$223.4M
SCHIZO/SOL Schizo Terminal,$0.03069,1mo,"10,252","10,252","10,252",-0.17%,1.90%,9.08%,7.89%,$1.2M,$30.6M
KAT/TON Kat Knight,$0.006848,1mo,"3,242","3,242","3,242",0%,2.53%,3.95%,5.52%,$275K,$6.8M
RAI/WETH Reploy,$4.83,13d,"1,628","1,628","1,628",0.93%,1.00%,1.81%,-16.00%,$2.2M,$48.3M
NMT/USDC NetMind Token,$3.14,10mo,322,322,322,0%,-0.01%,1.26%,2.18%,$1.9M,$135.1M
POPCAT/SOL Popcat,$0.8888,5mo,"15,488","15,488","15,488",-0.08%,-2.11%,3.70%,3.20%,$917K,$871.0M
WONG/WAPE Wong,$0.001438,2mo,335,335,335,-0.15%,0.67%,10.93%,18.21%,$180K,$1.4M
DFUND/WBNB DefiFund.AI Token,$0.1186,21d,84,84,84,0%,8.60%,8.33%,8.16%,$144K,$19.3M
MALOU/WBNB MALOU Token,$0.042827,26d,"4,446","4,446","4,446",0.56%,-3.24%,-6.24%,-12.36%,$178K,$2.8M
VIA/USDT Octavia,$0.09328,10mo,599,599,599,1.29%,0.25%,-5.09%,-15.24%,$186K,$8.4M
LUNAR/WBNB MoonPrime Games,$0.006917,10mo,221,221,221,0%,1.56%,7.90%,18.45%,$450K,$6.2M
WKC/WBNB WIKI CAT,$0.087450,2y,177,177,177,0%,-0.01%,-4.88%,-6.36%,$322K,$4.1M
GET/WBNB Get AI,$9.37,8mo,669,669,669,0%,-0.17%,-0.33%,-1.03%,$597K,$5.12B
liveThe/THE liveThe,$0.7507,1y,340,340,340,0%,0.14%,0.58%,-7.87%,$4.1M,$27.9M
$1/SOL just buy $1 worth of this coin,$0.003217,1mo,"5,257","5,257","5,257",0.32%,3.52%,25.88%,63.00%,$543K,$3.2M
NAI/SOL Naitzsche,$0.008146,1mo,"10,610","10,610","10,610",1.50%,-10.85%,-1.08%,-16.93%,$611K,$8.1M
TRUMP/WBNB MAGA,$1.65,10mo,316,316,316,-0.57%,-0.49%,2.91%,0.71%,$96K,$2.0M
PIKACHU/WBNB PIKACHU INU,$0.0102605,1y,295,295,295,0%,-0.25%,-10.63%,-15.53%,$98K,$2.4M
symx/SOL SYMBaiEX,$0.002751,13d,"8,364","8,364","8,364",-1.15%,-3.87%,-33.53%,-43.91%,$283K,$2.7M
SEND/SOL Send,$0.1202,5mo,"4,315","4,315","4,315",0.65%,1.21%,20.00%,-4.87%,$1.8M,$120.2M
THE/WBNB THENA,$1.49,-,301,301,301,0%,0.09%,-0.64%,-8.36%,$1.7M,$135.3M
swarms/SOL swarms,$0.2314,14d,"4,771","4,771","4,771",-2.12%,-2.47%,13.57%,36.31%,$793K,$231.4M
GEMSYNC/SOL GemSync AI,$0.0002967,1d,"21,763","21,763","21,763",2.38%,-16.51%,-16.80%,-76.67%,$81K,$296K
JAIL/SOL JailbreakMe,$0.008701,25d,"9,999","9,999","9,999",-0.90%,-0.98%,8.89%,0.42%,$787K,$8.7M
ELDA/BUSD Eldarune,$0.01223,1y,427,427,427,0.13%,10.28%,21.95%,10.45%,$167K,$3.0M
Xerebro/SOL XEREBRO AI,$0.0005688,4d,"7,395","7,395","7,395",-2.45%,3.89%,-35.31%,-46.97%,$113K,$568K
AILIVE/SOL ailive,$0.009774,13h,"1,915","1,915","1,915",-1.08%,-10.41%,-30.66%,459%,$177K,$9.7M
PSYOP /SOL psyop,$0.0001519,15h,"11,230","11,230","11,230",2.63%,-15.60%,114%,78.28%,$49K,$151K
BabyBonk/WBNB Baby Bonk,$0.0101067,1y,192,192,192,-0.01%,0.35%,0.17%,6.35%,$1.0M,$4.3M
MOO DENG/USDT MOO DENG (moodengbnb.com),$0.052204,2mo,75,75,75,0%,0.02%,0.18%,0.35%,$294K,$1.2M
SC/SOL STAR CAT,$0.0002588,6mo,39,39,39,0%,-0.22%,4.80%,1.18%,$177K,$209K
OUT/WBNB Outter Finance,$0.0001283,1y,177,177,177,0.12%,-0.05%,-2.17%,-6.83%,$110K,$1.4M
HAPPY/WBNB Happy Cat,$0.01046,3d,78,78,78,0%,-0.07%,1.55%,4.59%,$203K,$134K
APU/WETH Apu Apustaja,$0.0006486,9mo,746,746,746,-0.32%,-1.58%,6.81%,19.80%,$5.2M,$219.1M
SQUID/WBNB Squid Game,$0.007909,3y,244,244,244,-0.02%,0.43%,-0.06%,-1.44%,$861K,$6.0M
DORA/SOL DORA,$0.009629,4mo,"11,021","11,021","11,021",-0.90%,-1.93%,1.60%,-2.54%,$470K,$9.6M
NEUR/SOL neur.sh,$0.04366,10d,"5,459","5,459","5,459",2.71%,6.39%,11.26%,-8.77%,$141K,$39.2M
AITECH/USDT AITECH,$0.08641,1y,257,257,257,0%,1.23%,0.63%,-4.63%,$554K,$93.4M
OA/SOL OpenAgent,$0.002752,14h,"1,950","1,950","1,950",-11.57%,-5.20%,49.05%,490%,$92K,$2.7M
CSI/WETH CSI888,$0.001483,2mo,88,88,88,0%,0%,-0.08%,25.26%,$212K,$1.3M
CURTIS/WAPE Curtis,$0.001208,2mo,955,955,955,-0.15%,-0.15%,5.58%,-0.48%,$250K,$1.2M
HEX/WPLS HEX,$0.01378,1y,"4,277","4,277","4,277",0%,0.67%,5.41%,-10.55%,$22.5M,$8.20B
AICell/WBNB AICell,$0.06434,1mo,"1,685","1,685","1,685",0.31%,7.26%,4.30%,-19.45%,$115K,$64.3M
FOUR/WBNB 4,$0.0006217,5mo,34,34,34,0%,0.27%,-0.14%,-2.01%,$320K,$2.4M
Moon/WAPE MB Coin,$0.001462,13d,35,35,35,0%,0%,1.79%,-10.47%,$185K,$1.4M
AVB/SOL Autonomous Virtual Beings ,$0.01908,2mo,"11,264","11,264","11,264",-0.23%,1.38%,-3.64%,-3.71%,$1.4M,$19.0M
BLADE/WETH Blade,$0.003171,8mo,20,20,20,0%,0%,0.39%,-3.51%,$134K,$225K
AI/WETH Mindpalace,$0.04249,2mo,21,21,21,0%,0%,3.56%,4.58%,$345K,$709K
Chopped/SOL Chopped Chin,$0.0004333,2d,"5,363","5,363","5,363",-0.87%,-10.28%,-12.81%,125%,$82K,$433K
Chocobo/WETH Chocobo,$0.055048,3mo,19,19,19,0%,0%,-0.74%,-4.21%,$156K,$420K
LUIGI/WETH Market Maverick,$0.09338,1d,"4,023","4,023","4,023",0.15%,6.90%,16.16%,-29.76%,$222K,$1.9M
ASD/SOL ArkSciDAO,$0.004057,5h,"1,392","1,392","1,392",-8.68%,35.09%,148%,148%,$57K,$4.0M
MIRA/SOL Mira,$0.01231,8d,"6,923","6,923","6,923",-0.76%,-1.88%,0.57%,3.98%,$874K,$12.3M
HELA/SOL Science Cult Mascot,$0.0006722,1mo,"3,557","3,557","3,557",6.30%,0.28%,-25.54%,-37.11%,$214K,$672K
BABY THENA/SOL Baby Thena,$0.048533,21m,"1,530","1,530","1,530",-12.94%,-9.45%,-9.45%,-9.45%,$34K,$85K
Mog/WETH Mog Coin,$0.052165,1y,730,730,730,-0.36%,-1.81%,1.56%,2.50%,$22.4M,$845.7M
VINU/USDT Vita Inu,$0.073224,1y,517,517,517,-0.29%,-0.40%,-1.15%,-4.02%,$748K,$29.0M
DSync/WETH Destra Network,$0.4445,9mo,"2,561","2,561","2,561",-0.70%,-0.61%,-1.69%,10.47%,$7.6M,$444.5M
UFD/SOL Unicorn Fart Dust,$0.07269,15d,"9,578","9,578","9,578",-0.72%,-4.49%,9.70%,4.75%,$203K,$72.6M
ELIZA/arc Eliza,$0.1195,7h,"2,143","2,143","2,143",0.93%,-4.14%,16.38%,8.08%,$62K,$119.5M
VC/SOL Vitamin C,$0.001339,21d,"7,003","7,003","7,003",-2.87%,-6.16%,-53.38%,310%,$146K,$1.3M
RATS/WBNB GoldenRat,$0.051759,2mo,231,231,231,0%,2.58%,22.97%,29.81%,$270K,$1.0M
DRU/SOL Druid AI,$0.002176,10d,"6,809","6,809","6,809",-0.98%,-2.72%,-26.26%,-29.45%,$337K,$2.1M
VADER/VIRTUAL VaderAI by Virtuals,$0.1066,2mo,"3,182","3,182","3,182",-0.62%,-3.77%,3.38%,-15.88%,$4.5M,$106.3M
FLUFFY/WETH Based Fluffy,$0.061220,8h,"15,903","15,903","15,903",0.72%,-13.41%,-45.09%,"1,165%",$24K,$51K
USA/SOL American Coin,$0.052007,9mo,"3,292","3,292","3,292",-0.12%,-0.75%,5.06%,28.01%,$1.7M,$23.3M
Bonk/SOL Bonk,$0.043306,7mo,"8,352","8,352","8,352",0.14%,0.46%,5.30%,1.93%,$353K,$2.51B
DUBDOG/SUI DubDogSui,$0.0001004,6h,"2,425","2,425","2,425",0%,-1.49%,80.07%,103%,$70K,$100K
CLANKSTER/WETH Clankster,$0.052544,17h,"4,145","4,145","4,145",0%,-13.66%,21.20%,644%,$152K,$254K
APP/WBNB applications,$0.001044,1mo,887,887,887,-0.19%,-0.11%,-6.72%,23.54%,$150K,$1.0M
TANUKI/SOL TANUKI•WISDOM,$0.1554,1mo,"11,352","11,352","11,352",-0.23%,-0.64%,2.56%,-0.44%,$392K,$46.6M
CULT/WETH Milady Cult Coin,$0.002416,25d,545,545,545,0%,3.18%,11.94%,16.55%,$12.5M,$103.3M
FATHA/SOL Slopfather,$0.003752,1mo,"5,348","5,348","5,348",1.03%,3.13%,-20.17%,-37.09%,$459K,$3.7M
ASD/SOL ArkSciDAO,$0.004214,4h,"2,923","2,923","2,923",1.19%,39.42%,-15.10%,-15.10%,$15K,$4.2M
PUMP/WETH Pump,$0.1706,10mo,19,19,19,0%,-2.03%,-1.80%,-11.15%,$127K,$3.5M
SHRUB/WETH Shrub,$0.04037,6mo,741,741,741,0%,-0.81%,-4.21%,0.22%,$1.6M,$38.3M
DOGIUS/WETH Dogius Maximus,$0.002519,1d,"6,934","6,934","6,934",5.58%,35.03%,54.05%,57.00%,$288K,$2.5M
Fartcoin /SOL Fartcoin ,$1.41,1mo,"12,896","12,896","12,896",-0.38%,1.13%,8.07%,-2.28%,$1.4M,$1.41B
KOOKIE/WETH Kookie by Lush,$0.0001239,21h,"2,174","2,174","2,174",-1.10%,-8.94%,91.54%,903%,$133K,$1.2M
LINK/WETH ChainLink Token,$22.71,3y,451,451,451,-0.20%,0.55%,3.04%,0.27%,$45.8M,$14.33B
POLY/VIRTUAL Polytrader by Virtuals,$0.02845,1mo,"2,151","2,151","2,151",-0.51%,6.92%,50.11%,68.08%,$1.8M,$28.4M
PLSX/WPLS PulseX,$0.043080,1y,"2,761","2,761","2,761",0.01%,0.73%,1.85%,-7.36%,$44.1M,$4.37B
TAOBOT/WETH tao.bot,$0.5503,9mo,870,870,870,1.21%,7.21%,1.55%,52.32%,$1.3M,$42.1M
AIXBT/VIRTUAL aixbt by Virtuals,$0.4787,2mo,"3,872","3,872","3,872",0.70%,-5.88%,0.94%,-11.11%,$9.6M,$478.2M
fSONIC/wS FantomSonicInu,$0.003743,11d,"1,240","1,240","1,240",0.21%,0.37%,-0.38%,-6.86%,$392K,$900K
BAKENEKO/WBNB BAKENEKO,$0.062425,11d,"3,809","3,809","3,809",-0.96%,34.08%,-30.53%,-49.41%,$58K,$132K
TSLA/WETH TSLA6900,$0.048455,6h,880,880,880,1.23%,-4.14%,-45.18%,723%,$20K,$35K
KOLIN/SOL Kolin,$0.01600,1mo,"8,132","8,132","8,132",0.21%,-7.01%,14.15%,-16.68%,$720K,$16.0M
SENTRY/WETH Spam Sentry AI,$0.1469,17h,698,698,698,2.67%,9.70%,-15.54%,"1,835%",$63K,$138K
PEPE/WETH Pepe,$0.042066,1y,570,570,570,0%,-0.14%,1.41%,-1.35%,$71.0M,$8.55B
JUP/SOL Jupiter,$0.9447,8mo,"9,400","9,400","9,400",-0.32%,-0.92%,2.56%,3.25%,$384K,$1.27B
VIRTUAL/WETH Virtual Protocol,$4.24,1y,"1,837","1,837","1,837",-0.09%,-1.79%,0.50%,-7.15%,$4.4M,$4.24B
Poetrycoin/SOL Poetry Coin,$0.0005407,20h,"4,450","4,450","4,450",29.52%,66.72%,-18.31%,590%,$90K,$540K
BOWSER/WETH Bowser,$0.068398,2mo,11,11,11,0%,0%,6.88%,5.78%,$100K,$353K
NXR/SOL Nexus Erebus,$0.001070,1mo,"1,735","1,735","1,735",1.45%,55.32%,121%,329%,$153K,$1.0M
SEND/SOL Send,$0.1205,2mo,"7,060","7,060","7,060",0.81%,1.79%,20.79%,-4.89%,$601K,$120.5M
burn/USDT BurnedFi,$1.12,1y,739,739,739,-0.21%,-0.51%,1.42%,8.54%,$886K,$14.8M
MAX/SOL MAX,$0.02191,1mo,"4,266","4,266","4,266",-1.27%,0.36%,-3.34%,26.77%,$1.0M,$21.9M
OptiX/SOL OptiX AI,$0.001098,3d,"5,446","5,446","5,446",0.64%,-9.81%,-8.67%,-43.81%,$175K,$1.0M
$EX /SOL $EX COIN REAL ASSET,$0.0008664,2mo,317,317,317,0%,12.18%,4.48%,-11.83%,$114K,$858K
CUMMIES/WBNB CumRocket,$0.006759,-,"2,363","2,363","2,363",0%,2.39%,-22.99%,61.30%,$77K,$8.4M
RIDERS/SOL Night Riders ,$0.0005472,7d,"3,987","3,987","3,987",-0.42%,-9.20%,-34.97%,46.26%,$94K,$457K
gatto/WBNB Madonna del gatto,$0.007973,29d,"5,094","5,094","5,094",0%,2.11%,-1.00%,-28.41%,$226K,$7.9M
SNAKE/SOL neuralsnake.fun,$0.0008516,7d,"3,727","3,727","3,727",0.21%,5.46%,8.31%,49.51%,$150K,$851K
MuskAGI/SOL Musk AGI,$0.058595,20h,"7,765","7,765","7,765",3.46%,-12.92%,76.85%,"7,351%",$19K,$85K
PUPX/WBNB Pupnance,$0.085736,1mo,15,15,15,0%,0%,-4.21%,-5.09%,$87K,$2.8M
MOODENG/SOL Moo Deng,$0.2846,3mo,"6,931","6,931","6,931",-1.52%,-1.99%,-2.94%,-3.24%,$7.5M,$281.8M
AIXBT/SOL aixbt by Virtuals (Wormhole),$0.4848,1mo,"9,768","9,768","9,768",-0.03%,-5.21%,1.05%,-10.73%,$1.5M,$26.3M
ICE/WBNB Ice,$0.005990,11mo,705,705,705,-0.16%,1.99%,5.73%,5.90%,$362K,$42.8M
SKI/WETH SKI MASK DOG,$0.2342,8mo,"4,047","4,047","4,047",-0.07%,1.01%,0.04%,14.99%,$4.2M,$234.2M
DEAL/SOL Deal Hunter,$0.0003548,17h,"15,844","15,844","15,844",-1.29%,-5.87%,-48.43%,265%,$78K,$354K
BALDA/VIRTUAL Baldashin by Virtuals,$0.001192,18h,831,831,831,-0.55%,8.40%,-6.59%,-25.85%,$326K,$1.1M
SACRED/SOL SACRED TREES,$0.0002468,5d,"4,860","4,860","4,860",-0.41%,-11.73%,1.90%,147%,$67K,$246K
FROG/WBNB Frodo the virtual samurai,$0.003034,24d,"1,185","1,185","1,185",-0.09%,-0.41%,2.67%,16.64%,$233K,$15.1M
DUNA/SOL DUNA,$0.007827,1d,"8,304","8,304","8,304",0.67%,-4.94%,-18.05%,-46.45%,$94K,$7.8M
scihub/SOL sci-hub,$0.01979,1mo,"4,370","4,370","4,370",1.85%,-0.61%,-1.97%,1.18%,$1.0M,$19.7M
Thales/SOL Thales,$0.01092,2mo,"3,317","3,317","3,317",6.47%,12.50%,13.84%,7.62%,$640K,$10.9M
　/SOL 　,$0.06717,2mo,"4,614","4,614","4,614",0.53%,2.33%,12.80%,10.20%,$2.0M,$42.2M
OPAIUM/SOL opaium,$0.02005,1mo,"9,065","9,065","9,065",-0.49%,-8.77%,15.12%,8.27%,$990K,$20.0M
DUNA/SOL DUNA,$0.007842,1d,"6,950","6,950","6,950",1.91%,-2.29%,-18.24%,-45.98%,$291K,$7.8M
CLO/WETH Cloudland,$0.041584,6d,"3,524","3,524","3,524",-2.75%,-2.99%,3.55%,-12.49%,$1.8M,$15.8M
TGM/WBNB TAGOMI,$1.75,1mo,19,19,19,0%,0.54%,0.10%,-0.87%,$174K,$525.0M
$WIF/SOL dogwifhat,$2.45,1y,"4,796","4,796","4,796",-0.12%,-0.60%,24.88%,21.32%,$23.7M,$2.45B
AIDA/SUAI Aida,$0.0006056,14d,"1,244","1,244","1,244",-4.32%,34.82%,182%,278%,$225K,$605K
$CTO/SOL Coke take over,$0.042320,3h,"26,533","26,533","26,533",0%,-3.98%,339%,339%,$18K,$23K
CULT/WAPE NOT A CULT,$0.0005990,2mo,506,506,506,-0.23%,-0.13%,1.54%,-5.73%,$120K,$598K
ZKDS/HOLD ZKDAOS by AIgentFi,$0.001286,19h,804,804,804,0%,7.10%,10.70%,866%,$161K,$1.2M
JUP/SOL Jupiter,$0.9453,11mo,"10,144","10,144","10,144",-0.10%,-0.81%,2.73%,3.33%,$3.0M,$1.27B
coinsilium/SOL coinsiliumAI,$0.0001362,18h,"7,569","7,569","7,569",3.85%,-5.26%,-27.66%,71.25%,$46K,$136K
LUCI/SOL LUCI,$0.0008400,3mo,331,331,331,0%,-2.45%,-6.03%,9.25%,$120K,$838K
GAISHA/SOL Gaisha AI,$0.001141,6d,"5,632","5,632","5,632",-0.78%,-11.44%,-20.15%,-37.66%,$175K,$1.1M
SEN/WETH Sentio Protocol,$0.3325,7d,835,835,835,0%,-0.92%,-2.57%,-12.66%,$1.6M,$33.2M
PARA/WBNB Paramecium,$0.01763,6d,"4,514","4,514","4,514",-0.56%,-0.44%,-0.69%,-2.72%,$314K,$17.6M
CENTS/SOL Centience,$0.007072,2mo,"7,790","7,790","7,790",-0.12%,1.83%,-8.79%,-8.65%,$895K,$7.0M
EQMFLOW/SOL EQMFLOW,$0.044460,6h,"2,499","2,499","2,499",-0.84%,-4.81%,-14.62%,-59.90%,$24K,$44K
MUMU/SOL Mumu the Bull,$0.042978,9mo,"5,169","5,169","5,169",-0.34%,2.70%,4.36%,-1.83%,$3.3M,$69.3M
RENA/WBNB Rena Ito,$0.041638,21d,326,326,326,-0.31%,-0.01%,2.39%,-2.34%,$229K,$1.5M
LMEOW/WETH lmeow,$0.04412,2y,333,333,333,0.19%,-1.11%,30.54%,35.55%,$2.4M,$44.1M
SENDOR/SOL Sendor,$0.0008634,1mo,132,132,132,0%,0.84%,-3.21%,2.92%,$135K,$854K
QOAT/SOL Quantum Gospel,$0.002569,7d,"8,623","8,623","8,623",-1.05%,2.39%,24.77%,-15.43%,$340K,$2.5M
MYSTERY/WETH Mystery,$0.071836,22d,"1,184","1,184","1,184",0%,4.27%,-6.91%,0.01%,$566K,$7.7M
PAPERCLIPS/SOL Paperclip AI,$0.002298,14d,"3,649","3,649","3,649",1.31%,-6.24%,1.93%,-41.91%,$257K,$1.9M
KM/SOL Kekius Maximus,$0.0009800,3d,191,191,191,0%,-3.39%,31.66%,31.92%,$25K,$979K
CAT/VIRTUAL Catarrini by Virtuals,$0.001085,14h,669,669,669,-0.23%,1.68%,-7.17%,-29.01%,$311K,$770K
GRASS/SOL Grass,$3.13,1mo,"8,989","8,989","8,989",-0.51%,-4.40%,-3.32%,-0.38%,$262K,$763.8M
VERTAI/WETH Vertical AI,$0.9130,1mo,772,772,772,-0.26%,4.66%,0.81%,21.47%,$2.7M,$89.9M
LCAT/WBNB Lion Cat,$0.05836,2mo,"2,625","2,625","2,625",0.02%,-3.25%,-11.01%,-23.80%,$96K,$17.9M
DTSI/WETH DoTheySupportItBot by Virtuals,$0.01071,14h,"1,034","1,034","1,034",0.48%,-11.95%,9.73%,-34.11%,$90K,$10.7M
Kekius/SOL Kekius Maximus,$0.0005650,3d,"7,353","7,353","7,353",-0.09%,-13.29%,55.92%,-49.09%,$110K,$565K
alpha/SOL AlphaArc,$0.01932,11d,"11,244","11,244","11,244",-0.17%,-3.04%,1.02%,-7.28%,$720K,$19.3M
ALEX/HOLD ALEX AI,$0.004161,14d,"5,843","5,843","5,843",0.37%,1.73%,4.82%,5.62%,$296K,$4.1M
BUN/SOL smol bun,$0.001230,3d,"4,957","4,957","4,957",0.05%,7.07%,5.58%,-28.31%,$198K,$1.2M
STORX/SOL StorX Ai,$0.044998,14h,"58,909","58,909","58,909",4.31%,-15.63%,-69.61%,-31.40%,$28K,$49K
SAI/SOL SAIOS,$0.007895,23h,"5,700","5,700","5,700",1.78%,-1.25%,-4.52%,264%,$70K,$7.8M
ZODs/SOL ZODs,$0.006412,6mo,"5,752","5,752","5,752",-3.68%,-8.35%,11.79%,-25.27%,$533K,$4.7M
Bonk/USDC Bonk,$0.04696,19h,"1,389","1,389","1,389",0%,0%,0%,"73,912%",$291K,$3.57T
PRO/SOL Protoken,$0.002547,1mo,"4,727","4,727","4,727",0.47%,-4.80%,-33.40%,0.34%,$375K,$2.5M
霞/SOL MIST,$0.0006943,1mo,"1,524","1,524","1,524",-1.09%,-1.73%,14.25%,5.10%,$242K,$694K
Pnut /SOL Peanut the Squirrel ,$0.6758,2mo,"4,224","4,224","4,224",0.33%,0.55%,1.57%,-4.54%,$13.5M,$675.7M
HACK/SOL Memevolution,$0.0002167,22h,"10,235","10,235","10,235",1.88%,42.64%,15.45%,160%,$59K,$216K
L24AI/SOL L24AI AGENT,$0.001108,11d,"3,854","3,854","3,854",-0.27%,-2.57%,-7.08%,-44.49%,$168K,$1.1M
zodiac/SOL zodiac,$0.001604,1mo,"6,117","6,117","6,117",-6.45%,-14.86%,-26.11%,98.75%,$201K,$1.5M
Ok./WHBAR Ok.,$0.0001262,8d,"1,998","1,998","1,998",0%,1.67%,47.33%,19.51%,$60K,$126K
AILIVE/SOL ailive,$0.01053,11h,"3,148","3,148","3,148",4.32%,-7.14%,-21.07%,9.17%,$55K,$10.5M
GME/WETH GameStop,$0.0002376,7mo,306,306,306,-0.22%,-0.91%,7.68%,1.73%,$4.0M,$97.7M
Butthole/SOL Butthole Coin,$0.02493,2d,"4,567","4,567","4,567",0.04%,4.72%,13.43%,0.78%,$31K,$24.9M
PXL/SOL Pixel,$0.01173,13h,"1,569","1,569","1,569",-0.13%,24.24%,48.38%,-9.50%,$80K,$7.5M
BabyPengu/WBNB BABY PENGU,$0.053362,16d,225,225,225,0%,0.33%,-3.86%,-14.17%,$111K,$297K
Met/SOL Metformin,$0.002971,1mo,"4,170","4,170","4,170",0.23%,-10.66%,-10.03%,-22.72%,$326K,$2.9M
FRGB/SOL Pepe's Frogbar,$0.042596,7d,"7,140","7,140","7,140",0.27%,-0.62%,9.38%,55.24%,$382K,$23.0M
graveyard/SOL graveyard,$0.0001268,23h,"35,493","35,493","35,493",-4.41%,-14.14%,-16.91%,74.14%,$51K,$123K
FUGU/USDT Fugu Toxic,$0.006635,17d,"1,018","1,018","1,018",0.16%,-0.01%,0.38%,10.34%,$1.2M,$6.6M
LAY/WETH Loomlay,$0.06216,3d,"3,268","3,268","3,268",-3.88%,-0.98%,-32.46%,-8.11%,$1.2M,$8.6M
XETRA/WETH XETRA AI,$0.05389,7d,666,666,666,0.59%,1.54%,-18.89%,46.83%,$326K,$5.3M
THRUST/WETH Thruster,$0.08613,3mo,83,83,83,0%,0.42%,1.73%,1.35%,$987K,$6.7M
mini/SOL mini,$0.03137,8mo,"5,232","5,232","5,232",-0.14%,1.04%,11.02%,24.56%,$2.6M,$27.4M
SHIKOKU/SOL Mikawa Inu,$0.095831,2mo,"58,957","58,957","58,957",-0.25%,-5.39%,-7.67%,-10.58%,$116K,$582K
SKAI/SOL SKAINET,$0.005187,1mo,"9,044","9,044","9,044",-1.02%,2.35%,-5.70%,-19.82%,$356K,$5.1M
CHAOS/WETH CHAOS,$0.0001068,1mo,"3,146","3,146","3,146",0.18%,-5.35%,4.10%,-25.80%,$1.8M,$10.4M
GIZZY/SOL GIZZY COIN ,$0.045437,1d,"1,854","1,854","1,854",-0.54%,-14.79%,24.41%,-22.52%,$28K,$52K
TWRAE/SOL Trump Was Right About Everything,$0.001355,20d,"8,660","8,660","8,660",0.14%,11.62%,12.02%,247%,$179K,$1.3M
LEA/SOL Lea AI,$0.002435,1mo,"3,605","3,605","3,605",-0.76%,-5.49%,9.79%,-24.41%,$333K,$2.4M
SQUID/WBNB Squid Game V2,$0.0003742,8mo,56,56,56,0%,-1.38%,-5.86%,-8.29%,$108K,$274K
MOODENG/WETH MOO DENG,$0.0001627,3mo,658,658,658,0.24%,-0.74%,-4.67%,1.35%,$2.9M,$67.4M
CAKEDOG/WBNB CAKEDOG,$0.0002633,30d,283,283,283,0%,0.14%,-0.76%,-16.14%,$74K,$263K
TRUNK/BUSD Elephant Money Stable,$0.1322,3y,96,96,96,0%,0.04%,-0.09%,-1.09%,$5.2M,$16.0M
18plus/WBNB ai18plus,$0.1674,25d,26,26,26,0%,0.37%,-1.13%,-0.16%,$462K,$17.0M
VIVEK/WETH Head of D.O.G.E,$0.06603,1mo,48,48,48,0%,0.92%,19.26%,-19.50%,$125K,$660K
STARS/WETH STARS,$0.0003257,10d,577,577,577,-0.44%,2.56%,2.00%,-3.73%,$485K,$13.7M
Hawk/USDT Hawk,$0.048777,11mo,526,526,526,-0.02%,-0.45%,-9.44%,-20.53%,$306K,$6.8M
FOF/WBNB Flame Of Floki,$0.003821,2mo,12,12,12,0%,-0.26%,-0.50%,-3.57%,$74K,$554K
BabyPepe/WBNB Baby Pepe,$0.069025,10mo,54,54,54,0%,0.38%,0.19%,-1.12%,$144K,$348K
PYRATE/SOL PYRATE,$0.0008178,2mo,212,212,212,2.48%,2.18%,12.16%,-1.60%,$116K,$807K
NEIRO/WETH Neiro,$0.05335,5mo,247,247,247,-0.45%,3.82%,26.16%,21.18%,$2.0M,$53.3M
HODL/WBNB HODL,$0.0002081,21d,343,343,343,0.90%,1.92%,-0.23%,-4.96%,$177K,$2.0M
UNX/WBNB Unchain X,$0.02792,4mo,74,74,74,0%,-0.16%,-0.69%,-1.07%,$314K,$4.2M
LOCKIN/SOL LOCK IN,$0.05276,9mo,"6,003","6,003","6,003",-0.14%,-0.11%,0.08%,14.65%,$1.9M,$52.4M
CONVO/VIRTUAL Prefrontal Cortex Convo Agent by Virtuals,$0.04885,3mo,"2,221","2,221","2,221",-0.42%,-0.82%,-8.12%,-23.03%,$14.9M,$48.8M
DRIPX/WBNB DRIPX Token,$0.074639,10mo,62,62,62,0%,0.08%,-0.18%,0.69%,$161K,$360K
Rizzmas/SOL Rizzmas,$0.053029,1y,"3,405","3,405","3,405",0.16%,-1.31%,-0.92%,-7.28%,$407K,$1.5M
